Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
,Mali,17.570692,-3.996166,0,0,0,293,969,1961,2494,2699,3030,3440,4255,6291,7937,8306,9380,13420,14240,14385,14527,14757,15103,15776,16605
,Malta,35.9375,14.3754,0,0,90,444,600,665,679,1577,2814,5137,8924,11910,16423,21085,28319,30096,30499,30595,33198,35774,37036,37533,38117
,Marshall Islands,7.1315,171.1845,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4
,Mauritania,21.0079,-10.9408,0,0,2,7,200,3121,6027,6894,7403,7650,8128,12745,16322,17110,17630,18192,19114,20415,23223,31822,35661,36866,38001
,Mauritius,-20.348404,57.552152,0,0,28,329,332,340,343,346,367,425,494,526,556,603,809,1205,1293,1820,3181,7070,14863,17047,18979
,Mexico,23.6345,-102.5528,0,0,316,10544,62527,185122,362274,556216,705263,874171,1041875,1338426,1732290,2043632,2197160,2319519,2395330,2482784,2709739,3225073,3597168,3777209,3838308
,Micronesia,7.4256,150.5508,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,Moldova,47.4116,28.3699,0,0,94,2778,6847,14363,21798,33072,47446,69568,97941,136931,155302,177407,216094,248009,254601,256232,258365,264432,285321,325526,351940
,Monaco,43.7333,7.4167,0,0,23,94,97,101,112,154,197,281,582,756,1311,1885,2182,2423,2501,2554,2744,3133,3299,3388,3473
,Mongolia,46.8625,103.8467,0,0,10,35,141,215,287,298,313,328,640,1063,1611,2723,5392,26692,52470,98050,152539,195250,287317,348188,372187
,Montenegro,42.708678,19.37439,0,0,21,315,324,367,2472,4313,9138,16259,31062,44542,57482,72395,87638,96187,99203,100104,100865,109962,127894,139963,151272
,Morocco,31.7917,-7.0926,0,0,115,3446,7332,10172,17962,50812,105346,186731,324941,420648,464844,481263,491834,507938,516812,527174,567758,810949,923924,943652,948025
,Mozambique,-18.665695,35.529562,0,0,1,41,164,737,1557,3304,7114,11559,15037,17767,30848,56160,66306,69523,70568,72775,105866,142784,150280,151195,151414
,Namibia,-22.9576,18.4904,0,0,3,16,19,63,1402,5538,10607,12460,13865,19629,31848,37742,42653,47172,52712,75766,114400,123581,127035,128444,129038
,Nepal,28.1667,84.25,0,1,1,45,516,9561,18094,31117,66632,148509,220308,255236,268948,273556,276056,292152,505643,626343,674726,747433,787828,808096,816415
,Netherlands,52.1326,5.2913,0,0,4204,34842,44888,49658,52241,66097,98240,262405,484648,710683,938628,1060801,1207806,1435854,1622810,1680228,1827273,1918769,1989805,2070597,2269235
,New Zealand,-40.9006,174.886,0,0,102,1451,1504,1515,1555,1674,1824,1923,2030,2128,2276,2363,2462,2600,2668,2723,2855,3054,4135,5554,8482
,Nicaragua,12.865416,-85.207229,0,0,2,10,279,1823,3439,4311,5073,5434,5725,5938,6204,6398,6582,6835,7193,7920,9108,10672,13730,16241,16877
,Niger,17.607789,8.081666,0,0,2,662,937,1046,1122,1172,1193,1215,1368,2803,4308,4740,4928,5143,5369,5469,5594,5770,5967,6236,6650
,Nigeria,9.082,8.6753,0,0,30,873,7261,20919,38344,51905,57613,61805,66383,79789,118138,152616,161868,164588,165979,167331,170306,187023,203081,210136,213076
,North Macedonia,41.6086,21.7453,0,0,115,1259,1921,5196,9547,13458,16867,25473,54743,79190,90124,99408,119828,149221,155028,155640,155981,168872,188113,199057,208467
,Norway,60.472,8.4689,0,0,2385,7338,8332,8751,9059,10299,13153,17234,32765,44932,60565,68758,88035,109581,121963,129766,135235,148608,184609,199550,226064
,Oman,21.512583,55.923255,0,0,55,1614,6794,31076,71547,83769,94711,111837,122081,128143,132486,139692,151528,185278,208607,252609,289042,301299,303512,304116,304410
,Pakistan,30.3753,69.3451,0,0,875,11155,52437,185034,269191,292174,307418,326216,376929,462814,530818,573384,633741,784108,900552,950768,1000034,1127584,1232595,1267945,1279373
,Palau,7.515,134.5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,8
,Panama,8.538,-80.7821,0,0,313,4821,10267,26752,55906,85480,107284,127227,154783,217202,307793,337087,351213,361992,373774,395449,426849,452598,465147,471253,474231
,Papua New Guinea,-6.314993,143.95555,0,0,1,8,8,9,30,361,527,583,604,761,835,1056,3359,10338,14910,17013,17581,17832,19182,26731,32627
,Paraguay,-23.4425,-58.4438,0,0,22,213,838,1392,4000,12974,34828,57526,76476,101544,126370,152658,196112,260382,330457,409467,447864,457725,459720,460679,461624
,Peru,-9.19,-75.0152,0,0,363,19250,111698,257447,366550,576067,768895,879876,948081,998475,1082907,1283309,1466326,1734606,1920851,2030611,2099522,2142153,2169427,2194132,2212514
,Philippines,12.879721,121.774017,0,3,380,6710,13597,30682,72269,187249,291789,363888,418818,462815,509887,563456,671792,971049,1178217,1367894,1530266,1839635,2417419,2745889,2813115
,Poland,51.9194,19.1451,0,0,634,10169,20619,32227,41162,61181,80699,214686,861331,1214525,1464448,1642658,2073129,2731256,2864546,2879030,2881840,2886698,2899888,2961923,3175769
,Portugal,39.3999,-8.2245,0,0,1600,21982,30200,39392,49150,55452,69663,109541,260758,378656,609136,798074,817778,832891,844811,866826,943244,1019420,1063991,1083651,1104189
,Qatar,25.3548,51.1839,0,0,494,7141,40481,88403,107871,116765,123917,130462,137229,142308,148521,160889,174228,199980,215160,221119,224834,230837,235907,238359,240828
,Romania,45.9432,24.9668,0,0,433,9710,17712,24291,40163,77544,114648,196004,418645,598792,706475,781329,900858,1039998,1075236,1080323,1081953,1090925,1165886,1534942,1735277
,Russia,61.52401,105.318756,0,2,367,57999,326448,591465,787890,949531,1111157,1453923,2071858,2878382,3637862,4130447,4416226,4682573,4935302,5288766,5979027,6653498,7227549,8041581,8843238
,Rwanda,-1.9403,29.8739,0,0,19,153,321,787,1689,2889,4738,5017,5665,7511,12443,18199,20896,24262,26658,32296,61375,83023,96023,99325,100082
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,15,15,15,17,17,19,19,20,30,35,41,44,44,46,377,560,823,1718,2619,2736
,Saint Lucia,13.9094,-60.9789,0,0,2,15,18,19,23,26,27,42,220,303,755,3135,4132,4455,4935,5227,5496,7111,10727,12385,12808
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,1,13,18,29,52,58,64,68,84,107,690,1503,1696,1827,1973,2207,2271,2320,2964,4814,5257
,Samoa,-13.759,-172.1046,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3
,San Marino,43.9424,12.4578,0,0,175,476,672,713,716,726,742,796,1427,2135,2833,3492,4356,5046,5089,5091,5107,5255,5423,5497,5624
,Sao Tome and Principe,0.1864,6.6131,0,0,0,4,251,702,747,892,908,935,979,1012,1182,1628,2157,2292,2338,2363,2417,2524,3192,3691,3730
,Saudi Arabia,23.885942,45.079162,0,0,511,12772,67719,161005,258156,306370,330798,343774,355258,361359,365988,375333,385424,409093,439847,476882,514446,541201,546735,548162,549148
,Senegal,14.4974,-14.4524,0,0,67,442,2909,5970,9121,12850,14759,15508,15882,17945,24209,33099,37920,39975,41062,42472,54820,71927,73692,73880,73948
,Serbia,44.0165,21.0059,0,0,222,7144,11024,12990,22031,30548,32999,37536,121120,307827,380802,439596,555897,673520,709673,715913,719462,742313,886543,1085728,1204902
,Seychelles,-4.6796,55.492,0,0,7,11,11,11,108,127,139,149,161,202,866,2401,3770,5016,10433,14620,17747,19586,21180,22102,22633
,Sierra Leone,8.460555,-11.779889,0,0,0,61,606,1340,1731,1980,2174,2340,2405,2518,3093,3857,3948,4044,4121,4963,6206,6355,6393,6397,6400
,Singapore,1.2833,103.8333,0,85,455,10141,30426,42313,48744,56266,57627,57941,58160,58461,59250,59879,60208,60904,61799,62448,63791,66478,81356,165663,233176
,Slovakia,48.669,19.699,0,0,185,1244,1503,1588,2058,3316,6931,35330,96241,155218,233027,292792,349270,378150,388719,391385,392219,394082,404982,449775,547052
,Slovenia,46.1512,14.9955,0,0,414,1353,1468,1521,2006,2617,4558,17646,65308,107805,155752,185014,206317,234811,251531,257066,258468,263547,286267,316138,372109
,Solomon Islands,-9.6457,160.1562,0,0,0,0,0,0,0,0,0,4,16,17,17,18,18,20,20,20,20,20,20,20,20
,Somalia,5.152149,46.199616,0,0,1,286,1594,2812,3161,3269,3465,3897,4445,4690,4744,6246,10214,13459,14623,14868,15162,16787,19235,21269,22837
,South Africa,-30.5595,22.9375,0,0,274,3635,20125,101590,394948,607045,663282,710515,767679,940212,1392568,1504588,1538451,1571348,1632571,1843572,2342330,2690973,2889298,2918883,2925371
,South Sudan,6.877,31.307,0,0,0,4,563,1916,2211,2497,2660,2872,3047,3234,3788,6931,9890,10504,10652,10786,10917,11310,11861,12279,12558
,Spain,40.463667,-3.74922,0,2,28768,208389,234824,246504,267551,386054,682267,1026281,1556730,1829903,2499560,3153971,3228803,3456886,3636453,3768691,4249258,4770453,4940824,4997732,5047156
,Sri Lanka,7.873054,80.771797,0,1,82,330,1068,1951,2752,2947,3313,6287,20171,38059,56863,80517,90514,98722,161242,243913,291298,390000,508672,534975,548784
,Sudan,12.8628,30.2176,0,0,2,140,3138,8698,11127,12836,13578,13728,16187,23572,28522,30128,31147,33599,34889,36347,37138,37620,38050,40084,41093
,Summer Olympics 2020,35.6491,139.7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,578,865,865,865
,Suriname,3.9193,-56.0278,0,0,5,10,11,319,1176,3569,4759,5154,5296,5669,7945,8869,9067,9865,12928,20298,24573,27503,38769,47875,49950
,Sweden,60.128161,18.643501,0,1,1986,16553,33768,59718,75199,83114,89436,108969,208295,389439,547166,631166,744272,932076,1058341,1088014,1096341,1116584,1147879,1165996,1182471
,Switzerland,46.8182,8.2275,0,0,7474,28268,30707,31310,33883,39627,50664,97019,290601,418266,509279,550224,584252,644396,687353,702124,711877,752761,830251,862411,909038
,Syria,34.802075,38.996815,0,0,1,42,59,219,561,2143,3877,5267,7225,10442,13479,15230,17583,21725,24052,25205,25853,26901,31426,40922,45820
,Taiwan*,23.7,121,1,26,169,426,441,446,455,487,509,548,617,770,881,942,1006,1086,3862,14157,15511,15926,16159,16357,16475
,Tajikistan,38.861,71.2761,0,0,0,0,2350,5457,6967,8241,9388,10613,11854,13336,13714,13714,13714,13714,13714,13746,14761,16868,17484,17486,17488
,Tanzania,-6.369028,34.888822,0,0,12,284,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1367,1367,26034,26196
,Thailand,15.870032,100.992541,4,35,599,2826,3037,3151,3253,3390,3514,3727,3920,5762,13104,25504,27876,48113,126118,225365,453132,1049295,1511357,1831389,2004274
,Timor-Leste,-8.874217,125.727539,0,0,1,23,24,24,24,26,27,29,30,31,53,103,335,1657,5481,8781,10227,14216,19206,19759,19809
,Togo,8.6195,0.8248,0,0,16,88,363,569,806,1275,1683,2139,2843,3467,4545,6348,8960,12698,13363,13735,14801,19614,24902,25967,26133
,Tonga,-21.179,-175.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Trinidad and Tobago,10.6918,-61.2225,0,0,50,115,116,123,141,930,4026,5446,6450,7024,7456,7682,7861,9383,19444,30982,36884,43033,49111,55203,61519
,Tunisia,33.886917,9.537499,0,0,75,909,1048,1159,1394,2738,11260,45892,88711,123323,193273,228937,245923,294138,334099,387773,558306,640897,702503,711397,715571
,Turkey,38.9637,35.2433,0,0,1236,98674,154500,188897,222402,257032,306302,355528,446822,2062960,2418472,2646526,3035338,4501382,5178648,5381736,5563903,6215633,6932423,7800766,8365929
,US,40,-100,1,16,34944,854329,1611508,2311585,3976797,5667214,6901399,8436709,12373185,18398790,24964515,28294143,29938713,31998981,33176641,33634619,34359706,37816315,42572763,45422810,46991304
,Uganda,1.373333,32.290275,0,0,1,63,175,774,1075,2166,6712,11041,17968,31910,38935,40221,40687,41529,43507,73401,91355,97453,122502,125537,126833
,Ukraine,48.3794,31.1656,0,0,73,6592,20148,38056,62295,105337,185890,332262,642215,1007627,1222459,1354545,1604183,2043901,2237240,2292295,2322340,2368150,2468567,2852109,3328934
,United Arab Emirates,23.424076,53.847818,0,13,153,8238,27892,45303,57734,66617,86447,120710,158990,195878,270810,372530,442226,504872,554516,616160,667080,709378,733643,739106,740801
,United Kingdom,55.3781,-3.436,0,23,10333,140397,242825,278684,296377,324601,403551,810467,1512045,2110314,3583907,4126150,4301925,4398431,4460446,4651988,5602321,6492906,7530103,8689949,9487302
,Uruguay,-32.5228,-55.7658,0,0,158,549,753,882,1117,1521,1934,2701,4699,14001,36170,53310,84230,175891,262009,358461,379911,384094,388068,391890,396175
,Uzbekistan,41.377491,64.585262,0,0,43,1716,3028,6461,18379,38532,52685,64439,71617,76180,78272,79681,81446,87935,98164,106847,122048,149058,169989,182819,189186
,Vanuatu,-15.3767,166.9592,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,6
,Venezuela,6.4238,-66.5897,0,0,70,288,944,4048,13164,38957,68453,88416,99835,110828,122795,136545,151894,188063,222052,263372,296863,324642,358462,397370,417998
,Vietnam,14.058324,108.277199,0,16,113,268,324,349,408,1014,1068,1148,1307,1420,1548,2392,2575,2824,5119,13782,78269,348059,718963,881522,1009879
,West Bank and Gaza,31.9522,35.2332,0,0,52,335,423,1001,9398,18476,36580,49134,71644,125506,154557,174969,225976,287680,305201,313015,315876,326310,390369,450310,456632
,Yemen,15.552727,48.516388,0,0,0,1,205,967,1640,1907,2028,2057,2069,2087,2118,2176,3516,6020,6649,6892,7001,7509,8789,9650,9912
,Zambia,-13.133897,27.849332,0,0,3,74,920,1430,3583,10831,14389,16035,17424,18881,43333,75027,86535,91189,93106,133659,189731,204549,208676,209610,209963
,Zimbabwe,-19.015438,29.154857,0,0,3,28,51,512,2034,5893,7711,8242,9220,12544,30523,35862,36684,38018,38679,42714,93421,122652,128804,132588,133329
