Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
,Cabo Verde,16.5388,-23.0418,0,0,3,73,362,944,2154,3455,5337,8122,10276,11636,13381,15072,16517,21500,29198,32111,33452,34738,37240,38098,38293
,Cambodia,11.55,104.9167,0,1,84,122,123,130,198,273,275,286,306,363,456,593,1788,8193,24645,44124,70419,89231,105981,117500,119421
,Cameroon,3.848,11.5021,0,0,40,1163,4400,12041,16522,18762,20598,21570,23528,25849,28010,33749,40622,64809,77733,80487,81871,82454,85414,100289,106190
Alberta,Canada,53.9333,-116.5765,0,0,259,3401,6800,7736,9728,12748,16889,23829,46872,92480,119757,131336,142390,177087,223632,231476,233062,242997,285046,319176,329030
British Columbia,Canada,53.7267,-127.6476,0,6,424,1795,2507,2822,3328,4915,8304,12057,25474,47510,63484,77263,92571,122757,141373,147187,148730,158919,180937,200898,211750
Diamond Princess,Canada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Princess,Canada,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Manitoba,Canada,53.7609,-98.8139,0,0,20,257,292,314,374,872,1632,3773,13544,23180,28260,31483,33418,36890,47977,55467,57322,58176,59880,62588,65371
New Brunswick,Canada,46.5653,-66.4619,0,0,17,118,121,164,170,188,196,322,430,580,1087,1424,1498,1823,2115,2319,2347,2614,3577,6072,7069
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,9,256,260,261,264,268,272,288,319,383,398,940,1014,1052,1230,1384,1437,1458,1609,1928,2025
Northwest Territories,Canada,64.8255,-124.8457,0,0,0,5,5,5,5,5,5,8,15,24,31,47,47,52,127,128,128,328,852,1786,2001
Nova Scotia,Canada,44.682,-63.7443,0,0,28,772,1048,1061,1067,1078,1087,1097,1179,1454,1570,1610,1690,1894,5213,5793,5880,5956,6411,7208,7815
Nunavut,Canada,70.2998,-83.1076,0,0,0,0,0,0,0,0,0,0,128,262,267,351,395,432,638,657,657,657,661,674,674
Ontario,Canada,51.2538,-85.3232,0,3,425,13718,26085,35418,39824,43218,49944,70270,107347,164318,255074,298800,335762,441059,528516,550239,556282,566769,589381,604944,614160
Prince Edward Island,Canada,46.5107,-63.4168,0,0,3,26,27,27,36,44,57,64,68,91,110,114,144,174,199,206,208,220,284,315,324
Quebec,Canada,52.9399,-73.5491,0,0,795,22943,47017,54730,57984,61460,69113,98245,133144,183998,251607,282638,302846,342293,367575,374528,376429,384744,404974,421685,432990
